"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1998","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","479800","","","","0"
"1999","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","723800","","","","0"
"2000","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","914100","","","","0"
"2001","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","566300","","","","0"
"2002","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","328000","","","","0"
"2003","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","484600","","","","0"
"2004","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","915800","","","","0"
"2005","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","1164300","","","","0"
"2006","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","692800","","","","0"
"2007","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","733900","","","","0"
"2008","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","1043200","","","","0"
"2009","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","1530200","","","","0"
"2010","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2004800","","","","0"
"2011","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","1573500","","","","0"
"2012","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","1537900","","","","0"
"2013","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2261700","","","","0"
"2014","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","1987000","","","","0"
"2015","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2540500","","","","0"
"2016","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","3193800","","","","0"
"2017","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2558500","","","","0"
"2018","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2192100","","","","0"
"2019","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2382000","","","","0"
"2020","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2867700","","","","0"
"2021","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","1593640","","","","0"
"2022","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2330638","","r","","0"
"2023","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","1801109","","r","","0"
"2024","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2431284","","","","0"
"2025","Canada","2021A000011124","Production (metric tonnes)","Lentils","Metric tonnes","214","units","0","v114995735","1.19.32","2655168","","","","0"
"1908","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","3060250","","","","0"
"1909","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","4537850","","","","0"
"1910","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","3595200","","","","0"
"1911","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","6293500","","","","0"
"1912","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","6101350","","","","0"
"1913","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","6305250","","","","0"
"1914","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","4389200","","","","0"
"1915","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","10711050","","","","0"
"1916","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","7150950","","","","0"
"1917","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","6360900","","","","0"
"1918","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","5145600","","","","0"
"1919","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","5259700","","","","0"
"1920","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","7162350","","","","0"
"1921","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","8189050","","","","0"
"1922","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","10879150","","","","0"
"1923","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","12905350","","","","0"
"1924","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","7132200","","","","0"
"1925","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","10762900","","","","0"
"1926","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","11080950","","","","0"
"1927","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","13054850","","","","0"
"1928","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","15423950","","","","0"
"1929","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","8224050","","","","0"
"1930","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","11449000","","","","0"
"1931","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","8745350","","","","0"
"1932","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","12058550","","","","0"
"1933","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","7672150","","","","0"
"1934","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","7507950","","","","0"
"1935","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","7673600","","","","0"
"1936","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","5966950","","","","0"
"1937","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","4904500","","","","0"
"1938","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","9797150","","","","0"
"1939","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","14169400","","","","0"
"1940","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","14700800","","","","0"
"1941","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","8563850","","","","0"
"1942","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","15134600","","","","0"
"1943","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","7711450","","","","0"
"1944","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","11291450","","","","0"
"1945","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","8609550","","","","0"
"1946","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","11200950","","","","0"
"1947","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","9211550","","","","0"
"1948","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","10380750","","","","0"
"1949","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","9962000","","","","0"
"1950","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","12696650","","","","0"
"1951","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","15068600","","","","0"
"1952","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","19105400","","","","0"
"1953","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","17256300","","","","0"
"1954","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","9035200","","","","0"
"1955","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","14129200","","","","0"
"1956","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","15595500","","","","0"
"1957","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","10687000","","","","0"
"1958","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","10834300","","","","0"
"1959","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","12112150","","","","0"
"1960","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","14107400","","","","0"
"1961","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","7713950","","","","0"
"1962","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","15393450","","","","0"
"1963","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","19689650","","","","0"
"1964","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","16348800","","","","0"
"1965","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","17673950","","","","0"
"1966","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","22516850","","","","0"
"1967","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","16136450","","","","0"
"1968","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","17690400","","","","0"
"1969","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","18267950","","","","0"
"1970","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","9023050","","","","0"
"1971","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","14411900","","","","0"
"1972","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","14514450","","","","0"
"1973","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","16160350","","","","0"
"1974","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","13302300","","","","0"
"1975","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","17081600","","","","0"
"1976","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","23586674","","","","0"
"1977","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","19858700","","","","0"
"1978","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","21135600","","","","0"
"1979","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","17196300","","","","0"
"1980","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","19291400","","","","0"
"1981","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","24802200","","","","0"
"1982","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","26714750","","","","0"
"1983","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","26464200","","","","0"
"1984","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","21187900","","","","0"
"1985","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","24252200","","","","0"
"1986","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","31359300","","","","0"
"1987","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","25945300","","","","0"
"1988","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","15912700","","","","0"
"1989","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","24796200","","","","0"
"1990","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","32098300","","","","0"
"1991","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","31945600","","","","0"
"1992","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","29877200","","","","0"
"1993","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","27225900","","","","0"
"1994","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","22919500","","","","0"
"1995","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","24989400","","","","0"
"1996","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","29801400","","","","0"
"1997","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","24299400","","","","0"
"1998","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","24082300","","","","0"
"1999","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","26959900","","","","0"
"2000","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","26535500","","","","0"
"2001","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","20630200","","","","0"
"2002","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","15961300","","","","0"
"2003","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","23048600","","","","0"
"2004","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","24795500","","","","0"
"2005","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","25748100","","","","0"
"2006","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","25265400","","","","0"
"2007","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","20090400","","","","0"
"2008","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","28619200","","","","0"
"2009","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","26949900","","","","0"
"2010","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","23299600","","","","0"
"2011","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","25288000","","","","0"
"2012","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","27246000","","","","0"
"2013","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","37589100","","","","0"
"2014","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","29442100","","","","0"
"2015","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","27647400","","","","0"
"2016","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","32139900","","","","0"
"2017","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","30377300","","","","0"
"2018","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","32351900","","","","0"
"2019","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","32669800","","","","0"
"2020","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","35437200","","","","0"
"2021","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","22422100","","","","0"
"2022","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","34878782","","r","","0"
"2023","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","33413600","","r","","0"
"2024","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","35938839","","r","","0"
"2025","Canada","2021A000011124","Production (metric tonnes)","Wheat, all","Metric tonnes","214","units","0","v114995749","1.19.1","35547752","","","","0"
"1908","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1909","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1910","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1911","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1912","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1913","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1914","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1915","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1916","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1917","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1918","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1919","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1920","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1921","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1922","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1923","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1924","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1925","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1926","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1927","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1928","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1929","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1930","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1931","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1932","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1933","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1934","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1935","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1936","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1937","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1938","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1939","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1940","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1941","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1942","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1943","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1944","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1945","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1946","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1947","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1948","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1949","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1950","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1951","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1952","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1953","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1954","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1955","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1956","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1957","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1958","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1959","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1960","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1961","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1962","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1963","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1964","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1965","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1966","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
"1967","Canada","2021A000011124","Production (metric tonnes)","Wheat, durum","Metric tonnes","214","units","0","v115115187","1.19.4","","..","","","0"
